IssueKey,LinearTitle,Summary,Priority,Project,Milestone,StatusSuggestion,Labels,DependencyLayer,RecommendedOrder,BlockedBy,Blocks,SourceFile,Description
API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,Build the API endpoint used by the customer portal to create a new servicing order,High,Service Request Portal MVP,Foundation,Triage,API,0,1,,"API-002, API-003, API-004, API-005, CP-005, CP-006, CP-007, CP-008, QA-001, SEC-005, SEC-006",project/linear/tickets/API-001_implement-post-servicingorder-initiate.md,"## Import Metadata
- Issue key: `API-001`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `API`
- Priority: High
- Blocked by: None
- Blocks: API-002, API-003, API-004, API-005, CP-005, CP-006, CP-007, CP-008, QA-001, SEC-005, SEC-006
- Source file: `project/linear/tickets/API-001_implement-post-servicingorder-initiate.md`

---
## Summary
Build the API endpoint used by the customer portal to create a new servicing order.

## Why
This endpoint is the entry point for all customer-submitted update requests and creates the trackable workflow record.

## Context
The endpoint accepts an initiate payload and must create a servicing order with initial status `Pending` for manual CSR review.

## In Scope
- Accept valid initiate payloads
- Validate required fields and request type
- Create a servicing order with status `Pending`
- Return the created servicing order

## Out of Scope
- Downstream fulfilment of customer changes
- CSR status updates

## Requirements
- Customer-authenticated context is required
- Required fields and request details must be validated
- Created requests must enter the manual workflow only

## Acceptance Criteria
- [ ] Endpoint accepts valid initiate payload
- [ ] Endpoint validates required fields
- [ ] Endpoint creates servicing order with status `Pending`
- [ ] Endpoint returns created servicing order
- [ ] Invalid payloads return appropriate error responses

## Validation
### Automated
- [ ] Contract tests cover valid request creation and required-field validation
- [ ] Authorisation tests cover unauthenticated and mismatched customer context

### Manual
- [ ] Call the endpoint with a valid payload and confirm a servicing order is returned
- [ ] Call the endpoint with missing fields and confirm validation errors

## Dependencies
- None

## Risks / Controls
- Risk: Weak validation may create malformed workflow records
  - Control: Validate request type, customer context, and request details strictly

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-001,CP-001: Build the customer login flow for the customer-facing portal using the bank-approved authentication mechanism,Build the customer login flow for the customer-facing portal using the bank-approved authentication mechanism,High,Service Request Portal MVP,Foundation,Triage,CP,0,2,,"CP-002, CP-003, CP-004, CP-010",project/linear/tickets/CP-001_implement-customer-authentication-flow.md,"## Import Metadata
- Issue key: `CP-001`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `CP`
- Priority: High
- Blocked by: None
- Blocks: CP-002, CP-003, CP-004, CP-010
- Source file: `project/linear/tickets/CP-001_implement-customer-authentication-flow.md`

---
## Summary
Build the customer login flow for the customer-facing portal using the bank-approved authentication mechanism.

## Why
This enables customers to securely access the portal and is the entry point for all customer self-service activity.

## Context
Customer users need a separate authenticated experience from CSR users. Unauthenticated users must be denied access to protected customer routes and APIs.

## In Scope
- Provide a customer login screen and authenticated session establishment
- Handle successful and failed login attempts
- Redirect authenticated customers to the customer dashboard
- Protect customer-facing routes behind authentication

## Out of Scope
- CSR authentication
- Customer profile editing outside the service request workflow

## Requirements
- Only authenticated customers can access customer portal functions
- Invalid or expired credentials are rejected
- Customer authentication must remain separate from CSR authentication

## Acceptance Criteria
- [ ] A customer login screen is available
- [ ] Valid customer credentials authenticate successfully
- [ ] Invalid or expired credentials are rejected
- [ ] Unauthenticated users cannot access protected customer routes
- [ ] Authenticated customers are redirected to the customer dashboard

## Validation
### Automated
- [ ] Authentication integration tests cover successful and failed login attempts
- [ ] Route protection tests cover unauthenticated access denial

### Manual
- [ ] Log in with valid customer credentials and confirm dashboard access
- [ ] Attempt access to a protected route without authentication and confirm denial

## Dependencies
- None

## Risks / Controls
- Risk: Misconfigured auth could expose customer routes
  - Control: Enforce route and API protection in both frontend and backend

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CSR-001,"CSR-001: Build the staff login flow for CSRs, separate from the customer login flow","Build the staff login flow for CSRs, separate from the customer login flow",High,Service Request Portal MVP,Foundation,Triage,CSR,0,3,,"CSR-002, CSR-003",project/linear/tickets/CSR-001_implement-csr-authentication-flow.md,"## Import Metadata
- Issue key: `CSR-001`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `CSR`
- Priority: High
- Blocked by: None
- Blocks: CSR-002, CSR-003
- Source file: `project/linear/tickets/CSR-001_implement-csr-authentication-flow.md`

---
## Summary
Build the staff login flow for CSRs, separate from the customer login flow.

## Why
CSRs need a secure entry point to the staff portal and operational queue.

## Context
CSR authentication must be distinct from customer authentication and should lead authorised staff to the CSR dashboard.

## In Scope
- Provide a CSR login screen and authenticated session establishment
- Handle successful and failed login attempts
- Redirect authenticated CSRs to the CSR dashboard
- Protect CSR routes behind staff authentication

## Out of Scope
- Customer authentication
- Supervisor or admin roles beyond CSR MVP access

## Requirements
- Only authenticated staff can access CSR routes
- CSR authentication remains separate from customer authentication

## Acceptance Criteria
- [ ] CSR login screen is available
- [ ] Valid staff credentials authenticate successfully
- [ ] Invalid credentials are rejected
- [ ] Unauthenticated users cannot access CSR routes
- [ ] Authenticated CSR users land on the CSR dashboard

## Validation
### Automated
- [ ] Authentication tests cover valid and invalid CSR login attempts
- [ ] Route protection tests cover unauthenticated access denial to CSR routes

### Manual
- [ ] Log in with valid CSR credentials and confirm dashboard access
- [ ] Attempt access to CSR routes without authentication and confirm denial

## Dependencies
- None

## Risks / Controls
- Risk: Shared auth configuration with customer flows may blur permissions
  - Control: Maintain separate auth and authorisation boundaries

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,Build the API endpoint to return a list of servicing orders for queue and history views,High,Service Request Portal MVP,Foundation,Triage,API,1,4,API-001,"API-005, API-006, CP-010, CSR-003, CSR-007, QA-001, QA-006",project/linear/tickets/API-002_implement-get-servicingorder-list-endpoint.md,"## Import Metadata
- Issue key: `API-002`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `API`
- Priority: High
- Blocked by: API-001
- Blocks: API-005, API-006, CP-010, CSR-003, CSR-007, QA-001, QA-006
- Source file: `project/linear/tickets/API-002_implement-get-servicingorder-list-endpoint.md`

---
## Summary
Build the API endpoint to return a list of servicing orders for queue and history views.

## Why
Both the CSR queue and customer history depend on retrieving servicing orders in list form.

## Context
The endpoint must support status filtering and role-aware access. CSR users can see all relevant requests; customer access must remain restricted to their own records or be filtered through a service layer.

## In Scope
- Return a list of servicing orders
- Support filtering by status
- Enforce role-aware access boundaries

## Out of Scope
- Advanced analytics or reporting responses
- Supervisor-specific views

## Requirements
- Authorised callers can retrieve servicing order lists
- Role boundaries must be enforced
- Response data must support CSR queue requirements

## Acceptance Criteria
- [ ] Authorised callers can retrieve servicing order lists
- [ ] List supports filtering by status
- [ ] Role boundaries are enforced
- [ ] Response data supports CSR queue requirements

## Validation
### Automated
- [ ] Contract tests cover status filtering and role-based access
- [ ] List tests cover CSR queue and customer history retrieval cases

### Manual
- [ ] Retrieve the list as a CSR and confirm cross-customer queue data appears
- [ ] Retrieve the list in customer context and confirm only own requests are returned if applicable

## Dependencies
- API-001

## Risks / Controls
- Risk: Shared list endpoint may return too much data in customer context
  - Control: Apply strict role-aware filtering or separate service behaviour

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping","Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",High,Service Request Portal MVP,Foundation,Triage,API,1,5,API-001,"API-005, CP-011, CSR-008, QA-001, SEC-001, SEC-002, SEC-006",project/linear/tickets/API-003_implement-get-servicingorder-servicingorderid-endpoint.md,"## Import Metadata
- Issue key: `API-003`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `API`
- Priority: High
- Blocked by: API-001
- Blocks: API-005, CP-011, CSR-008, QA-001, SEC-001, SEC-002, SEC-006
- Source file: `project/linear/tickets/API-003_implement-get-servicingorder-servicingorderid-endpoint.md`

---
## Summary
Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping.

## Why
Customer and CSR detail views both rely on this endpoint, but they require different visibility rules.

## Context
Customers may retrieve only their own servicing orders and must not receive internal notes. CSRs may retrieve any authorised servicing order including internal notes.

## In Scope
- Return a servicing order by ID
- Enforce customer-versus-CSR authorisation rules
- Shape the response according to role

## Out of Scope
- Bulk retrieval
- Workflow mutation through the detail endpoint

## Requirements
- Unknown IDs return `404`
- Unauthorised access is denied
- Customer-facing responses exclude internal notes

## Acceptance Criteria
- [ ] Authorised caller can retrieve a valid servicing order
- [ ] Unknown ID returns `404`
- [ ] Unauthorised access is denied
- [ ] Customer-facing response excludes internal notes

## Validation
### Automated
- [ ] Contract tests cover valid retrieval, not found, and unauthorised cases
- [ ] Response-shaping tests confirm internal notes are omitted in customer context

### Manual
- [ ] Retrieve a request as a CSR and confirm internal notes are present
- [ ] Retrieve the same request as the owning customer and confirm internal notes are absent

## Dependencies
- API-001

## Risks / Controls
- Risk: Shared endpoint may leak staff-only data
  - Control: Implement explicit role-based shaping and test both paths

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,Build the API endpoint used by CSRs to update request status and add internal notes,High,Service Request Portal MVP,Foundation,Triage,API,1,6,API-001,"API-005, CP-012, CSR-009, CSR-010, CSR-011, CSR-012, CSR-013, CSR-014, QA-001, SEC-003, SEC-004, SEC-005, SEC-006",project/linear/tickets/API-004_implement-put-servicingorder-servicingorderid-update-endpoint.md,"## Import Metadata
- Issue key: `API-004`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `API`
- Priority: High
- Blocked by: API-001
- Blocks: API-005, CP-012, CSR-009, CSR-010, CSR-011, CSR-012, CSR-013, CSR-014, QA-001, SEC-003, SEC-004, SEC-005, SEC-006
- Source file: `project/linear/tickets/API-004_implement-put-servicingorder-servicingorderid-update-endpoint.md`

---
## Summary
Build the API endpoint used by CSRs to update request status and add internal notes.

## Why
This endpoint persists the key operational actions performed by CSRs during manual servicing.

## Context
The endpoint must require CSR-authenticated context, support valid status transitions, and append internal notes when supplied.

## In Scope
- Accept update requests from CSR-authenticated context
- Persist valid status changes
- Append internal notes when supplied
- Return the updated servicing order

## Out of Scope
- Customer-initiated updates
- Automatic fulfilment of requested profile changes

## Requirements
- CSR authentication is required
- Status transition must be valid
- Internal notes must include required fields when supplied
- Invalid transitions must be rejected

## Acceptance Criteria
- [ ] CSR-authenticated context is required
- [ ] Valid status transitions are persisted
- [ ] Optional internal note is appended correctly
- [ ] Invalid transitions return `409` or equivalent error
- [ ] Response includes updated servicing order

## Validation
### Automated
- [ ] Contract tests cover valid status updates and note appends
- [ ] Error tests cover invalid transitions and unauthorised access

### Manual
- [ ] Call the endpoint as a CSR and confirm status and note updates persist
- [ ] Attempt an invalid transition and confirm the error response

## Dependencies
- API-001

## Risks / Controls
- Risk: Update endpoint may become a hidden fulfilment path
  - Control: Keep it limited to workflow state and note changes only

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-002,CP-002: Implement authorisation controls so customer users can only access their own data and customer-facing screens,Implement authorisation controls so customer users can only access their own data and customer-facing screens,High,Service Request Portal MVP,Foundation,Triage,CP,1,7,CP-001,"CP-004, CP-010, SEC-001",project/linear/tickets/CP-002_enforce-customer-role-based-access-control.md,"## Import Metadata
- Issue key: `CP-002`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `CP`
- Priority: High
- Blocked by: CP-001
- Blocks: CP-004, CP-010, SEC-001
- Source file: `project/linear/tickets/CP-002_enforce-customer-role-based-access-control.md`

---
## Summary
Implement authorisation controls so customer users can only access their own data and customer-facing screens.

## Why
This protects customer privacy and ensures customers cannot access CSR functions or other customers’ information.

## Context
Customer users must only retrieve their own profile data and their own servicing orders. Direct URL or API attempts against another customer’s records must be denied.

## In Scope
- Enforce customer-only access to customer portal routes
- Restrict API access to the authenticated customer’s own data
- Block access to CSR pages and CSR-only operations

## Out of Scope
- CSR permissions model beyond what is needed to block customer access
- Supervisor or admin roles

## Requirements
- Customers can retrieve only their own profile data
- Customers can retrieve only their own servicing orders
- Customers must not access CSR routes or CSR-only APIs

## Acceptance Criteria
- [ ] Customer users cannot access CSR routes
- [ ] Customer users cannot call CSR-only operations successfully
- [ ] Customer users can retrieve only their own data
- [ ] Direct URL or API attempts to access another customer’s request are denied

## Validation
### Automated
- [ ] Authorisation tests cover cross-customer access denial
- [ ] API tests cover denial of CSR-only operations in customer context

### Manual
- [ ] Attempt to access another customer’s request and confirm denial
- [ ] Attempt to access a CSR page while logged in as a customer and confirm denial

## Dependencies
- CP-001

## Risks / Controls
- Risk: Response shaping mistakes may leak data
  - Control: Enforce access checks server-side and test negative paths

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-003,"CP-003: Add customer session handling, timeout behaviour, and logout flow consistent with portal security requirements","Add customer session handling, timeout behaviour, and logout flow consistent with portal security requirements",High,Service Request Portal MVP,Foundation,Triage,CP,1,8,CP-001,,project/linear/tickets/CP-003_implement-customer-session-handling-and-logout.md,"## Import Metadata
- Issue key: `CP-003`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `CP`
- Priority: High
- Blocked by: CP-001
- Blocks: None
- Source file: `project/linear/tickets/CP-003_implement-customer-session-handling-and-logout.md`

---
## Summary
Add customer session handling, timeout behaviour, and logout flow consistent with portal security requirements.

## Why
Customers need a stable and secure authenticated session, and the bank needs sessions to expire and terminate correctly.

## Context
The customer portal must preserve authenticated access during normal use while preventing continued access after logout or expiry.

## In Scope
- Session creation and persistence for authenticated customers
- Logout flow that ends the session
- Session expiry handling and re-authentication prompts

## Out of Scope
- Single sign-on enhancements beyond MVP
- CSR session handling

## Requirements
- Authenticated sessions persist correctly during valid use
- Logout ends the customer session
- Expired sessions require re-authentication

## Acceptance Criteria
- [ ] Authenticated customer session persists correctly during valid use
- [ ] Logout ends the session
- [ ] Session expiry prevents further protected access
- [ ] Expired sessions require re-authentication

## Validation
### Automated
- [ ] Session expiry tests cover protected route denial after timeout
- [ ] Logout tests confirm session invalidation

### Manual
- [ ] Log in, navigate across customer pages, and confirm session continuity
- [ ] Log out and confirm protected pages are no longer accessible

## Dependencies
- CP-001

## Risks / Controls
- Risk: Stale sessions may keep sensitive pages available
  - Control: Invalidate session tokens and enforce backend checks

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CSR-002,CSR-002: Ensure only authenticated CSR users can access CSR portal functions and staff request operations,Ensure only authenticated CSR users can access CSR portal functions and staff request operations,High,Service Request Portal MVP,Foundation,Triage,CSR,1,9,CSR-001,CSR-003,project/linear/tickets/CSR-002_enforce-csr-role-based-access-control.md,"## Import Metadata
- Issue key: `CSR-002`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `CSR`
- Priority: High
- Blocked by: CSR-001
- Blocks: CSR-003
- Source file: `project/linear/tickets/CSR-002_enforce-csr-role-based-access-control.md`

---
## Summary
Ensure only authenticated CSR users can access CSR portal functions and staff request operations.

## Why
This protects staff functions from customer access and ensures only authorised users can manage servicing orders.

## Context
CSR users need access to the queue, detail views, notes, and status updates. Non-CSR users must be blocked.

## In Scope
- Restrict CSR routes to authenticated staff
- Block non-CSR users from staff-only APIs and screens
- Permit authorised CSR access to queue and detail views

## Out of Scope
- Fine-grained supervisor permissions
- Customer data ownership rules beyond what is needed for CSR access

## Requirements
- CSR-only actions are blocked for non-CSR users
- Authorised CSRs can access the service request queue and detail views

## Acceptance Criteria
- [ ] CSR routes require staff authentication
- [ ] CSR-only actions are blocked for non-CSR users
- [ ] Authorised CSR users can access the service request queue and detail views

## Validation
### Automated
- [ ] Authorisation tests cover denial of CSR routes to customer users
- [ ] API tests cover denial of CSR-only operations in non-CSR context

### Manual
- [ ] Log in as a customer and confirm CSR routes are denied
- [ ] Log in as a CSR and confirm staff routes are accessible

## Dependencies
- CSR-001

## Risks / Controls
- Risk: Missing backend checks may allow API access despite hidden UI controls
  - Control: Enforce role checks server-side as well as in the UI

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
API-005,"API-005: Add validation, standardised error payloads, and consistent failure responses across the servicing order API","Add validation, standardised error payloads, and consistent failure responses across the servicing order API",High,Service Request Portal MVP,Foundation,Triage,API,2,10,"API-001, API-002, API-003, API-004",QA-001,project/linear/tickets/API-005_implement-api-validation-and-standard-error-handling.md,"## Import Metadata
- Issue key: `API-005`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `API`
- Priority: High
- Blocked by: API-001, API-002, API-003, API-004
- Blocks: QA-001
- Source file: `project/linear/tickets/API-005_implement-api-validation-and-standard-error-handling.md`

---
## Summary
Add validation, standardised error payloads, and consistent failure responses across the servicing order API.

## Why
Consistent validation and error handling reduce ambiguity for portal clients and simplify QA and support.

## Context
The API should return predictable status codes and payload shapes for validation failures, auth failures, not found, and invalid workflow transitions.

## In Scope
- Validate request payloads consistently across endpoints
- Standardise error payload structure
- Return consistent HTTP status codes for common failure cases

## Out of Scope
- Extended business analytics in errors
- Non-standard endpoint-specific failure formats

## Requirements
- Validation errors return `400`
- Unauthenticated requests return `401`
- Forbidden operations return `403`
- Not found returns `404`
- Invalid workflow transitions return `409`

## Acceptance Criteria
- [ ] Validation errors return `400`
- [ ] Unauthenticated requests return `401`
- [ ] Forbidden operations return `403`
- [ ] Not found returns `404`
- [ ] Invalid workflow transitions return `409`
- [ ] Error payload structure is consistent

## Validation
### Automated
- [ ] Contract tests verify status codes and payload structure for each failure class
- [ ] Regression tests confirm endpoints use the shared error contract

### Manual
- [ ] Trigger representative validation, auth, not-found, and conflict errors and confirm consistent responses

## Dependencies
- API-001
- API-002
- API-003
- API-004

## Risks / Controls
- Risk: Inconsistent errors create fragile UI handling
  - Control: Adopt and enforce a single shared error contract

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
