BlockedIssueKey,BlockedIssueTitle,BlockingIssueKey,BlockingIssueTitle,RelationType,Notes
API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
CP-002,CP-002: Implement authorisation controls so customer users can only access their own data and customer-facing screens,CP-001,CP-001: Build the customer login flow for the customer-facing portal using the bank-approved authentication mechanism,blocked_by,Derived from markdown Dependencies section
CP-003,"CP-003: Add customer session handling, timeout behaviour, and logout flow consistent with portal security requirements",CP-001,CP-001: Build the customer login flow for the customer-facing portal using the bank-approved authentication mechanism,blocked_by,Derived from markdown Dependencies section
CSR-002,CSR-002: Ensure only authenticated CSR users can access CSR portal functions and staff request operations,CSR-001,"CSR-001: Build the staff login flow for CSRs, separate from the customer login flow",blocked_by,Derived from markdown Dependencies section
API-005,"API-005: Add validation, standardised error payloads, and consistent failure responses across the servicing order API",API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
API-005,"API-005: Add validation, standardised error payloads, and consistent failure responses across the servicing order API",API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,blocked_by,Derived from markdown Dependencies section
API-005,"API-005: Add validation, standardised error payloads, and consistent failure responses across the servicing order API",API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",blocked_by,Derived from markdown Dependencies section
API-005,"API-005: Add validation, standardised error payloads, and consistent failure responses across the servicing order API",API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
API-006,API-006: Add richer filtering and pagination support to improve scalability for CSR queue use cases,API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,blocked_by,Derived from markdown Dependencies section
CP-004,CP-004: Create the customer dashboard showing the customer’s current personal information on record,CP-001,CP-001: Build the customer login flow for the customer-facing portal using the bank-approved authentication mechanism,blocked_by,Derived from markdown Dependencies section
CP-004,CP-004: Create the customer dashboard showing the customer’s current personal information on record,CP-002,CP-002: Implement authorisation controls so customer users can only access their own data and customer-facing screens,blocked_by,Derived from markdown Dependencies section
CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,CP-001,CP-001: Build the customer login flow for the customer-facing portal using the bank-approved authentication mechanism,blocked_by,Derived from markdown Dependencies section
CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,CP-002,CP-002: Implement authorisation controls so customer users can only access their own data and customer-facing screens,blocked_by,Derived from markdown Dependencies section
CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,blocked_by,Derived from markdown Dependencies section
CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",CSR-001,"CSR-001: Build the staff login flow for CSRs, separate from the customer login flow",blocked_by,Derived from markdown Dependencies section
